Constructor_constructorId,Constructor_name
mercedes,Mercedes
ferrari,Ferrari
mclaren,McLaren
racing_point,Racing Point
alphatauri,AlphaTauri
renault,Renault
alfa,Alfa Romeo
williams,Williams
red_bull,Red Bull
haas,Haas F1 Team
aston_martin,Aston Martin
alpine,Alpine F1 Team
